mode,accuracy,F1-score,precision,recall
VALID,0.9196141479099679,0.9222153080273802,0.9439490445859873,0.9014598540145985
TEST,0.9102803738317757,0.9128065395095368,0.9288354898336414,0.8973214285714286
TRAIN,0.9552113855169527,0.9567851373182552,0.9669387755102041,0.9468425259792166
VALID,0.9196141479099679,0.9222153080273802,0.9439490445859873,0.9014598540145985
TEST,0.9102803738317757,0.9128065395095368,0.9288354898336414,0.8973214285714286
TRAIN,0.9552113855169527,0.9567851373182552,0.9669387755102041,0.9468425259792166
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9102803738317757,0.9128065395095368,0.9288354898336414,0.8973214285714286
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9102803738317757,0.9128065395095368,0.9288354898336414,0.8973214285714286
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
VALID,0.9221864951768489,0.9251700680272109,0.9408805031446541,0.9099756690997567
TEST,0.9116822429906543,0.9145183175033921,0.9266727772685609,0.9026785714285714
TRAIN,0.9547928003348681,0.9564691656590084,0.9646341463414634,0.9484412470023981
